"concept_code_1","vocabulary_id_1","concept_name_1","concept_class_id_1","relationship_id","concept_code_2","vocabulary_id_2","concept_name_2","concept_class_id_2","valid_start_date","valid_end_date","mapping_note"
"440@1","NAACCR","Grade I","NAACCR Value","maps to","Grade-1","Cancer Modifier","Grade 1 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"440@2","NAACCR","Grade II","NAACCR Value","maps to","Grade-2","Cancer Modifier","Grade 2 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"440@3","NAACCR","Grade III","NAACCR Value","maps to","Grade-3","Cancer Modifier","Grade 3 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"440@4","NAACCR","Grade IV","NAACCR Value","maps to","Grade-4","Cancer Modifier","Grade 4 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"440@9","NAACCR","Grade/differentiation unknown, not stated, or not applicable","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"441@1","NAACCR","Recorded as Grade I or 1","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"441@2","NAACCR","Recorded as Grade II or 2","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"441@3","NAACCR","Recorded as Grade III or 3","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"441@4","NAACCR","Recorded as Grade IV or 4","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"449@2","NAACCR","Two-Grade System","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"449@3","NAACCR","Three-Grade System","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"449@4","NAACCR","Four-Grade System","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"breast@2861@030","NAACCR","Score of 3","NAACCR Value","maps to","Nottingham-Score-3","Cancer Modifier","Nottingham Score 3","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@040","NAACCR","Score of 4","NAACCR Value","maps to","Nottingham-Score-4","Cancer Modifier","Nottingham Score 4","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@050","NAACCR","Score of 5","NAACCR Value","maps to","Nottingham-Score-5","Cancer Modifier","Nottingham Score 5","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@060","NAACCR","Score of 6","NAACCR Value","maps to","Nottingham-Score-6","Cancer Modifier","Nottingham Score 6","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@070","NAACCR","Score of 7","NAACCR Value","maps to","Nottingham-Score-7","Cancer Modifier","Nottingham Score 7","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@080","NAACCR","Score of 8","NAACCR Value","maps to","Nottingham-Score-8","Cancer Modifier","Nottingham Score 8","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@090","NAACCR","Score of 9","NAACCR Value","maps to","Nottingham-Score-9","Cancer Modifier","Nottingham Score 9","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@110","NAACCR","Low Grade, Bloom-Richardson (BR) grade 1, score not given","NAACCR Value","maps to","Nottingham-Grade-1","Cancer Modifier","Nottingham Grade 1","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@120","NAACCR","Medium (Intermediate) Grade, BR grade 2, score not given","NAACCR Value","maps to","Nottingham-Grade-2","Cancer Modifier","Nottingham Grade 2","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@130","NAACCR","High Grade, BR grade 3, score not given","NAACCR Value","maps to","Nottingham-Grade-3","Cancer Modifier","Nottingham Grade 3","Staging/Grading","2022-08-28","2099-12-31",""
"breast@2861@988","NAACCR","Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"breast@2861@998","NAACCR","No histologic examination of primary site","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"breast@2861@999","NAACCR","Neither BR grade nor BR score given|Unknown or no information|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"lacrimal_gland@2861@010","NAACCR","Low grade","NAACCR Value","maps to","Grade-L","Cancer Modifier","Low grade tumor","Staging/Grading","2022-08-28","2099-12-31",""
"lacrimal_gland@2861@020","NAACCR","High grade","NAACCR Value","maps to","Grade-H","Cancer Modifier","High grade tumor","Staging/Grading","2022-08-28","2099-12-31",""
"lacrimal_gland@2861@987","NAACCR","Not applicable: Histology not mucoepidermoid carcinoma","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"lacrimal_gland@2861@988","NAACCR","Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"lacrimal_gland@2861@998","NAACCR","No pathologic examination of primary site","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"lacrimal_gland@2861@999","NAACCR","Unknown or no information|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@011","NAACCR","Primary pattern 1, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@012","NAACCR","Primary pattern 1, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@013","NAACCR","Primary pattern 1, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@014","NAACCR","Primary pattern 1, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@015","NAACCR","Primary pattern 1, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@019","NAACCR","Primary pattern 1, secondary pattern unknown","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@021","NAACCR","Primary pattern 2, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@022","NAACCR","Primary pattern 2, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@023","NAACCR","Primary pattern 2, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@024","NAACCR","Primary pattern 2, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@025","NAACCR","Primary pattern 2, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-7","Cancer Modifier","Pathological Gleason Score 7","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@029","NAACCR","Primary pattern 2, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@031","NAACCR","Primary pattern 3, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@032","NAACCR","Primary pattern 3, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@033","NAACCR","Primary pattern 3, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@034","NAACCR","Primary pattern 3, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-3+4","Cancer Modifier","Pathological Gleason Score 3+4","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2861@035","NAACCR","Primary pattern 3, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-8","Cancer Modifier","Pathological Gleason Score 8","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@039","NAACCR","Primary pattern 3, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@041","NAACCR","Primary pattern 4, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@042","NAACCR","Primary pattern 4, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@043","NAACCR","Primary pattern 4, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-4+3","Cancer Modifier","Pathological Gleason Score 4+3","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2861@044","NAACCR","Primary pattern 4, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-8","Cancer Modifier","Pathological Gleason Score 8","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@045","NAACCR","Primary pattern 4, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-9","Cancer Modifier","Pathological Gleason Score 9","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@049","NAACCR","Primary pattern 4, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@051","NAACCR","Primary pattern 5, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-4+3","Cancer Modifier","Pathological Gleason Score 4+3","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@052","NAACCR","Primary pattern 5, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-7","Cancer Modifier","Pathological Gleason Score 7","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@053","NAACCR","Primary pattern 5, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-8","Cancer Modifier","Pathological Gleason Score 8","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@054","NAACCR","Primary pattern 5, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-9","Cancer Modifier","Pathological Gleason Score 9","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@055","NAACCR","Primary pattern 5, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-10","Cancer Modifier","Pathological Gleason Score 10","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2861@059","NAACCR","Primary pattern 5, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@099","NAACCR","Primary pattern unknown, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@988","NAACCR","Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@998","NAACCR","No needle core biopsy/TURP performed","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2861@999","NAACCR","Unknown or no information|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2862@988","NAACCR","Not applicable: Information not collected for this case (If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2862@998","NAACCR","No needle core biopsy/TURP performed","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2862@999","NAACCR","Unknown or no information|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@011","NAACCR","Primary pattern 1, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@012","NAACCR","Primary pattern 1, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@013","NAACCR","Primary pattern 1, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@014","NAACCR","Primary pattern 1, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@015","NAACCR","Primary pattern 1, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@019","NAACCR","Primary pattern 1, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@021","NAACCR","Primary pattern 2, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@022","NAACCR","Primary pattern 2, secondary pattern 2","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@023","NAACCR","Primary pattern 2, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@024","NAACCR","Primary pattern 2, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@025","NAACCR","Primary pattern 2, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-7","Cancer Modifier","Pathological Gleason Score 7","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@029","NAACCR","Primary pattern 2, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@031","NAACCR","Primary pattern 3, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@032","NAACCR","Primary pattern 3, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@033","NAACCR","Primary pattern 3, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@034","NAACCR","Primary pattern 3, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-3+4","Cancer Modifier","Pathological Gleason Score 3+4","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2863@035","NAACCR","Primary pattern 3, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-8","Cancer Modifier","Pathological Gleason Score 8","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@039","NAACCR","Primary pattern 3, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@041","NAACCR","Primary pattern 4, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@042","NAACCR","Primary pattern 4, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@043","NAACCR","Primary pattern 4, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-4+3","Cancer Modifier","Pathological Gleason Score 4+3","Staging/Grading","2022-08-28","2099-12-31",""
"prostate@2863@044","NAACCR","Primary pattern 4, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-8","Cancer Modifier","Pathological Gleason Score 8","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@045","NAACCR","Primary pattern 4, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-9","Cancer Modifier","Pathological Gleason Score 9","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@049","NAACCR","Primary pattern 4, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@051","NAACCR","Primary pattern 5, secondary pattern 1","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@052","NAACCR","Primary pattern 5, secondary pattern 2","NAACCR Value","maps to","p-Gleason-Score-<=6","Cancer Modifier","Pathological Gleason Score <=6","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@053","NAACCR","Primary pattern 5, secondary pattern 3","NAACCR Value","maps to","p-Gleason-Score-8","Cancer Modifier","Pathological Gleason Score 8","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@054","NAACCR","Primary pattern 5, secondary pattern 4","NAACCR Value","maps to","p-Gleason-Score-9","Cancer Modifier","Pathological Gleason Score 9","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@055","NAACCR","Primary pattern 5, secondary pattern 5","NAACCR Value","maps to","p-Gleason-Score-10","Cancer Modifier","Pathological Gleason Score 10","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"prostate@2863@059","NAACCR","Primary pattern 5, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@099","NAACCR","Primary pattern unknown, secondary pattern unknown","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@988","NAACCR","Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@998","NAACCR","No prostatectomy/autopsy performed","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2863@999","NAACCR","No residual disease on prostatectomy/autopsy|Unknown or no information |Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2864@988","NAACCR","Not applicable: Information not collected for this case (If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2864@998","NAACCR","No prostatectomy/autopsy performed","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"prostate@2864@999","NAACCR","No Gleason's score documented on prostatectomy/autopsy|No residual disease on prostatectomy/autopsy|Unknown or no information|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"appendix@2865@010","NAACCR","For NON-MUCINOUS tumors:| Well differentiated| Grade 1/4","NAACCR Value","maps to","Grade-1","Cancer Modifier","Grade 1 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"appendix@2865@011","NAACCR","For MUCINOUS tumors:| Grade 1/2| Grade 1/3| Grade 1/4| Low grade| Well differentiated||Stated as Grade 1 with no information on the total number of codes in the grading system","NAACCR Value","maps to","Grade-1","Cancer Modifier","Grade 1 tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"appendix@2865@020","NAACCR","For NON-MUCINOUS tumors:| Moderately differentiated| Grade 2/4","NAACCR Value","maps to","Grade-2","Cancer Modifier","Grade 2 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"appendix@2865@021","NAACCR","For MUCINOUS tumors:| Grade 2/2| Grade 2/3| Grade 2/4| Grade 3/3| Grade 3/4| High grade| Moderately differentiated| Poorly differentiated|| Stated as Grade 2 or Grade 3 with no information on the total number of codes in the grading system","NAACCR Value","maps to","Grade-2","Cancer Modifier","Grade 2 tumor","Staging/Grading","2022-08-28","2099-12-31","concept granularity lost"
"appendix@2865@030","NAACCR","For NON-MUCINOUS tumors:| Poorly differentiated| Grade 3/4","NAACCR Value","maps to","Grade-3","Cancer Modifier","Grade 3 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"appendix@2865@040","NAACCR","For NON-MUCINOUS tumors:| Undifferentiated| Grade 4/4","NAACCR Value","maps to","Grade-4","Cancer Modifier","Grade 4 tumor","Staging/Grading","2022-08-28","2099-12-31",""
"appendix@2865@988","NAACCR","Not applicable: Information not collected for this case|(If this information is required by your standard setter, use of code 988 may result in an edit error.)","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"appendix@2865@998","NAACCR","No pathologic confirmation of primary site tumor","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
"appendix@2865@999","NAACCR","Unknown or no information|Not documented in patient record","NAACCR Value","maps to","No matching concept","Cancer Modifier","No matching concept","Undefined","2022-08-28","2099-12-31",""
