concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
4273629,Chemotherapy,Procedure,SNOMED,Procedure,S,367336001,1969-12-31,2099-12-30,
4061650,Hormone therapy,Procedure,SNOMED,Procedure,S,169413002,1969-12-31,2099-12-30,
4295112,Immunological therapy,Procedure,SNOMED,Procedure,S,76334006,1969-12-31,2099-12-30,
?,Chemotherapy,Treatment,Treatment,Treatment,S,OMOP10000001,1969-12-31,2099-12-30,
?,Hormone therapy,Treatment,Treatment,Treatment,S,OMOP10000002,1969-12-31,2099-12-30,
?,Immunological therapy,Treatment,Treatment,Treatment,S,OMOP10000003,1969-12-31,2099-12-30,
?,"External beam, NOS",Treatment,Treatment,Treatment,S,OMOP10000004,1969-12-31,2099-12-30,
?,"External beam, NOS",Treatment,Treatment,Treatment,S,OMOP10000005,1969-12-31,2099-12-30,
?,"External beam, photons",Treatment,Treatment,Treatment,S,OMOP10000006,1969-12-31,2099-12-30,
?,"External beam, protons",Treatment,Treatment,Treatment,S,OMOP10000007,1969-12-31,2099-12-30,
?,"External beam, electrons",Treatment,Treatment,Treatment,S,OMOP10000008,1969-12-31,2099-12-30,
?,"External beam, neutrons",Treatment,Treatment,Treatment,S,OMOP10000009,1969-12-31,2099-12-30,
?,"External beam, carbon ions",Treatment,Treatment,Treatment,S,OMOP10000010,1969-12-31,2099-12-30,
?,"Brachytherapy, NOS",Treatment,Treatment,Treatment,S,OMOP10000011,1969-12-31,2099-12-30,
?,"Brachytherapy, intracavitary, LDR",Treatment,Treatment,Treatment,S,OMOP10000012,1969-12-31,2099-12-30,
?,"Brachytherapy, intracavitary, HDR",Treatment,Treatment,Treatment,S,OMOP10000013,1969-12-31,2099-12-30,
?,"Brachytherapy, Interstitial, LDR",Treatment,Treatment,Treatment,S,OMOP10000014,1969-12-31,2099-12-30,
?,"Brachytherapy, Interstitial, HDR",Treatment,Treatment,Treatment,S,OMOP10000015,1969-12-31,2099-12-30,
?,"Brachytherapy, electronic",Treatment,Treatment,Treatment,S,OMOP10000016,1969-12-31,2099-12-30,
?,"Radioisotopes, NOS",Treatment,Treatment,Treatment,S,OMOP10000017,1969-12-31,2099-12-30,
?,"Radioisotopes, Radium-232",Treatment,Treatment,Treatment,S,OMOP10000018,1969-12-31,2099-12-30,
?,"Radioisotopes, Strontium-89",Treatment,Treatment,Treatment,S,OMOP10000019,1969-12-31,2099-12-30,
?,"Radioisotopes, Strontium-90",Treatment,Treatment,Treatment,S,OMOP10000020,1969-12-31,2099-12-30,
