Item #,Item Name,Section,Codes,Code Descriptions,Note
10,Record Type,Record ID,I,Incidence-only record type (nonconfidential coded data) Length = 4048,
,,,C,Confidential record type (incidence record plus confidential data) Length = 6154,
,,,A,Full case Abstract record type (incidence and confidential data plus text summaries; used for reporting to central registries) Length = 24194,
,,,U,Correction/ Update record type (short format record used to submit corrections to data already submitted) Length = 1543,
,,,M,"Record Modified since previous submission to central registry (identical in format to the ""A"" record type; used to submit changes to data already submitted) Length = 24194",
,,,L,Pathology Laboratory,
,,,,,
20,Patient ID Number,Record ID,,,
21,Patient System ID-Hosp,Record ID,,,
30,Registry Type,Record ID,1,Central registry (population-based),
,,,2,Central registry or hospital consortium (not population-based),
,,,3,Single hospital/freestanding center,
35,FIN Coding System,,,,Retired
35,FIN Coding System,,,,Retired
35,FIN Coding System,,,,Retired
35,FIN Coding System,,,,Retired
35,FIN Coding System,,,,Retired
35,FIN Coding System,,,,Retired
35,FIN Coding System,,,,Retired
37,Reserved 00,Record ID,,,
37,Reserved 00,,,,Retired
37,Reserved 00,,,,Retired
40,Registry ID,Record ID,0,Case not reported by a facility,
,,,99999999,"Case reported, but facility number is unknown",
45,NPI--Registry ID,Record ID,,,
50,NAACCR Record Version,Record ID,120,2010 Version 12,
,,,121,2011 Version 12.1,
,,,122,2012 Version 12.2,
,,,130,2013 Version 13,
,,,140,2014 Version 14,
,,,150,2015 Version 15,
,,,160,2016 Version 16,
,,,180,2018 Version 18,
,,,,,
60,Tumor Record Number,Record ID,,,
70,Addr at DX--City,Demographic,UNKNOWN,City at diagnosis unknown,
80,Addr at DX--State,Demographic,CD,"Resident of Canada, NOS (province/territory unknown)",
,,,US,"Resident of United States, NOS (state/commonwealth/territory/possession unknown)",
,,,XX,"Resident of country other than the United States (including its territories, commonwealths, or possessions) or Canada, and country is known",
,,,YY,"Resident of country other than the United States (including its territories, commonwealths, or possessions) or Canada, and country is unknown",
,,,ZZ,Residence unknown,
81,State at DX Geocode 1970/80/90,Demographic,34700,Valid FIPS code,New
,,,Blank,"Residence unknown, geocoding not performed, geocoding unsuccessful, residence outside US (including its territories, commonwealths, or possessions) residence US, NOS.",
,,,,,
82,State at DX Geocode 2000,Demographic,34700,Valid FIPS Code,New
,,,Blank,"Residence unknown, geocoding not performed, geocoding unsuccessful, residence outside US (including its territories, commonwealths, or possessions) residence US, NOS.",
,,,,,
83,State at DX Geocode 2010,Demographic,34700,Valid FIPS Codes,New
,,,Blank,"Residence unknown, geocoding not performed, geocoding unsuccessful, residence outside US (including its territories, commonwealths, or possessions) residence US, NOS.",
,,,,,
84,State at DX Geocode 2020,Demographic,34700,Valid FIPS code,New
,,,Blank,"Residence unknown, geocoding not performed, geocoding unsuccessful, residence outside US (including its territories, commonwealths, or possessions) residence US, NOS.",
,,,,,
89,County at DX Analysis,Demographic,001-997,Valid FIPS code,New
,,,998,"Known town, city, state, or country of residence but county code not known AND a resident outside of the state of reporting institution (must meet all criteria). Use for Canadian residents.",
,,,999,"The county of the patient is unknown, or the patient is not a United States resident. County is not documented in the patient's medical record.",
,,,,,
90,County at DX Reported,Demographic,001-997,Valid FIPS code,
,,,998,"Known town, city, state, or country of residence but county code not known AND a resident outside of the state of reporting institution (must meet all criteria). Use this code for Canadian residents.",
,,,999,"The county of the patient is unknown, or the patient is not a United States resident. County is not documented in the patient's medical record.",
,,,,,
94,County at DX Geocode 1970/80/90,Demographic,001-997,County at diagnosis. Valid FIPS code,
,,,998,"Known town, city, state, or country of residence but county code not known AND a resident outside of the state of reporting institution (must meet all criteria). Use this code for Canadian residents.",
,,,999,"County unknown. The county of the patient is unknown, or the patient is not a United States resident. County is not documented in the patient's medical record.",
,,,,,
95,County at DX Geocode2000,Demographic,001-997,County at diagnosis. Valid FIPS code.,
,,,998,"Known town, city, state, or country of residence but county code not known AND a resident outside of the state of reporting institution (must meet all criteria). Use this code for Canadian residents.",
,,,999,"County unknown. The county of the patient is unknown, or the patient is not a United States resident. County is not documented in the patient's medical record.",
,,,,,
96,County at DX Geocode2010,Demographic,001-997,County at diagnosis. Valid FIPS code.,
,,,998,"Known town, city, state, or country of residence but county code not known AND a resident outside of the state of reporting institution (must meet all criteria). Use this code for Canadian residents.",
,,,999,"County unknown. The county of the patient is unknown, or the patient is not a United States resident. County is not documented in the patient's medical record.",
,,,,,
97,County at DX Geocode2020,Demographic,001-997,County at diagnosis. Valid FIPS code.,
,,,998,"Outside state/county code unknown. Known town, city, state, or country of residence but county code not known AND a resident outside of the state of reporting institution (must meet all criteria). Use this code for Canadian residents.",
,,,999,"County unknown. The county of the patient is unknown, or the patient is not a United States resident. County is not documented in the patient's medical record.",
,,,,,
100,Addr at DX--Postal Code,Demographic,888888888,"Resident of country other than the United States, U.S. possessions or territories, or Canada and the postal code is unknown",
,,,999999999,"Resident of the United States (including its possessions, etc.) and the postal code is unknown",
,,,999999,Resident of Canada and postal code is unknown,
102,Addr at DX--Country,Demographic,,,
,,,ZZN,North America NOS,
,,,ZZC,Central America NOS,
,,,ZZS,South America NOS,
,,,ZZP,Pacific NOS,
,,,ZZE,Europe NOS,
,,,ZZF,Africa NOS,
,,,ZZA,Asia NOS,
,,,ZZX,Non-US NOS,
,,,ZZU,Unknown,
,,,Custom codes for historic use only,,
,,,XNI,North American Islands,
,,,XCB,Other Caribbean Islands,
,,,XEN,"England, Channel islands, Isle of Man",
,,,XSC,Scandinavia,
,,,XGR,Germanic Countries,
,,,XSL,Slavic Countries,
,,,CSK,Czechoslovakia (former),
,,,YUG,Yugoslavia,
,,,XUM,Ukraine and Moldova,
,,,XNF,North Africa,
,,,XSD,Sudanese Countries,
,,,XWF,West Africa,
,,,XSF,South Africa,
,,,XEF,East Africa,
,,,XIF,African Islands,
,,,XET,Ethiopia and Eritrea,
,,,XAP,Arabian Peninsula,
