"CONCEPT_NAME","STANDARD_CANCER_NAME"
"Adenosarcoma of the Corpus Uteri; Uterus, NOS","Adenocarcinoma of Uterus (NOS)"
"Adrenal Gland","Cancer of Adrenal Gland"
"Ampulla of Vater (excluding Neuroendocrine Tumor)","Cancer of Small Intestine"
"Anterior 2/3 of Tongue, Tip, Border, and Tongue, NOS (excluding Malignant Melanoma)","Cancer of Oral Cavity (NOS)"
"Anterior Surface of Epiglottis (excluding Malignant Melanoma)","Cancer of Larynx"
"Anus, Anal Canal, and Other Parts of Rectum","Cancer of Anus and Rectum"
"Base of Tongue and Lingual Tonsil (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Bile Duct Distal","Cancer of Bile Duct"
"Bladder","Cancer of Bladder"
"Body and Tail of Pancreas","Cancer of Pancreas"
"Bone","Cancer of Bone"
"Bone Appendicular Skeleton, Trunk, Skull, and Facial Bones","Cancer of Bone"
"Bone Pelvis","Cancer of Bone"
"Bone Spine","Cancer of Spinal Cord"
"Brain and Cerebral Meninges","Cancer of Brain and Meninges"
"Breast","Cancer of Breast"
"Broad and Round Ligaments, Parametrium, Uterine Adnexa","Cancer of Connective Tissue of the Female Reproductive System"
"Carcinoid Tumor and Neuroendocrine Carcinoma of Appendix","Neuroendocrine Tumor of Appendix (NOS)"
"Carcinoma and Carcinosarcoma of Corpus Uteri; Uterus, NOS (excluding Placenta and Adenosarcoma, Leiomyosarcoma, and Endometrial Stromal Sarcoma (ESS))","Carcinoma and Carcinosarcoma of Uterus (NOS)"
"Carcinomas of the Appendix (excluding Carcinoid Tumor and Neuroendocrine Carcinoma)","Carcinoma of Appendix"
"Cervical Lymph Nodes and Unknown Primary Tumor of the Head and Neck","Unknown Tumor of Head, Neck, and Cervical Lymph Nodes"
"Cervix Uteri","Cancer of Cervix"
"Cheek (Buccal) Mucosa, Vestibule (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Colon and Rectum","Cancer of Colon and Rectum"
"Colon (excluding Appendix, Gastrointestinal Stromal Tumor, and Neuroendocrine Tumor)","Cancer of Colon"
"Conjunctiva (excluding Retinoblastoma, Malignant Melanoma, Kaposi Sarcoma, and Lymphoma)","Cancer of Eye"
"Cornea, Retina, Choroid, Ciliary Body, Iris, Overlapping Lesion of Eye, and Other Eye (excluding Melanoma and Retinoblastoma)","Cancer of Eye"
"Cutaneous Carcinoma of Head and Neck","Cutaneous Carcinoma of Head and Neck"
"Cystic Duct","Cancer of Cystic Duct"
"Esophagus","Cancer of Esophagus"
"Esophagus (including GE junction) (excluding Squamous)","Cancer of Esophagus and Gastroesophageal Junction"
"Esophagus (including GE junction) Squamous","Squamous Cell Carcinoma of Esophagus"
"Ethmoid Sinus (excluding Malignant Melanoma)","Cancer of Sinus"
"Fallopian Tube","Cancer of Fallopian Tube"
"Floor of Mouth (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Gallbladder","Cancer of Gallbladder"
"Gastrointestinal Stromal Tumor of Appendix","Gastrointestinal Stromal Tumor of Appendix"
"Gastrointestinal Stromal Tumor of Esophagus","Gastrointestinal Stromal Tumor of Esophagus"
"Gastrointestinal Stromal Tumor of Rectum and Rectosigmoid Junction","Gastrointestinal Stromal Tumor of Rectum and Rectosigmoid Junction"
"Gastrointestinal Stromal Tumor of Small Intestine","Gastrointestinal Stromal Tumor of Small Intestine"
"Gastrointestinal Stromal Tumor of Stomach","Gastrointestinal Stromal Tumor of Stomach"
"Gastrointestinal Stromal Tumors of Colon (excluding Appendix)","Gastrointestinal Stromal Tumor of Colon"
"Gastrointestinal Stromal Tumors of Peritoneum and Retroperitoneum","Gastrointestinal Stromal Tumor of Peritoneum and Retroperitoneum"
"GIST","Gastrointestinal Stromal Tumor"
"Glottic Larynx (excluding Malignant Melanoma)","Cancer of Larynx"
"Gum","Cancer of Oral Cavity"
"Gum, Lower and Retromolar Area (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Gum, NOS (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Gum, Upper (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Hard Palate (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Head of Pancreas","Cancer of Pancreas"
"Heart, Mediastinum","Cancer of Heart and Mediastinum"
"Heart, Mediastinum and Pleura","Cancer of Heart, Mediastinum, and Pleura"
"Hematopoietic, Reticuloendothelial, Immunoproliferative, and Myeloproliferative Neoplasms","Cancer of Nonsolid Organs"
"HemeRetic","Cancer of Nonsolid Organs"
"Hodgkin and Non-Hodgkin Lymphomas of All Sites (excluding Mycosis Fungoides and Sezary Disease)","Hodgkin and Nonhodgkin Lymphoma"
"Intrahepatic Bile Ducts","Cancer of Intrahepatic Bile Ducts"
"Kaposi Sarcoma of All Sites","Kaposi Sarcoma"
"Kidney (Renal Parenchyma)","Cancer of Kidney"
"Lacrimal Gland (excluding Lymphoma)","Cancer of Lacrimal Gland"
"Lacrimal Sac (excluding Lymphoma)","Cancer of Lacrimal Sac"
"Laryngeal Cartilage, Overlapping Lesion of Larynx, and Larynx, NOS (excluding Malignant Melanoma)","Cancer of Larynx"
"Lip","Cancer of Oral Cavity"
"Lip, Lower (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Lip, Upper (excluding Malignant Melanoma)","Cancer of Oral Cavity"
"Liver","Cancer of Liver"
"Lung","Cancer of Lung"
"Lymphoma-CLL/SLL","Cll/sll"
"Lymphoma of the Ocular Adnexa and Skin of Eyelid","Lymphoma of Skin of Eyelid and Ocular Adnexa"
"Major Salivary Glands","Malignant Melanoma of Major Salivary Glands"
"Malignant Melanoma of Accessory (Paranasal) Sinuses","Malignant Melanoma of Paranasal Sinuses"
"Malignant Melanoma of Anterior Surface of Epiglottis","Malignant Melanoma of Larynx"
"Malignant Melanoma of Anterior Tongue","Malignant Melanoma of Oral Cavity"
"Malignant Melanoma of Base of Tongue and Lingual Tonsil","Malignant Melanoma of Oral Cavity"
"Malignant Melanoma of Buccal Mucosa","Malignant Melanoma of Oral Cavity"
"Malignant Melanoma of Choroid","Malignant Melanoma of Eye"
"Malignant Melanoma of Ciliary Body (excluding Iris)","Malignant Melanoma of Eye"
"Malignant Melanoma of Conjunctiva","Malignant Melanoma of Eye"
"Malignant Melanoma of Ethmoid Sinus","Malignant Melanoma of Sinus"
"Malignant Melanoma of Floor of Mouth","Malignant Melanoma of Oral Cavity"
"Malignant Melanoma of Glottic Larynx","Malignant Melanoma of Larynx"
"Malignant Melanoma of Gum, NOS","Malignant Melanoma of Oral Cavity"
"Malignant Melanoma of Hard Palate","Malignant Melanoma of Oral Cavity"
"Malignant Melanoma of Head and Neck","Malignant Melanoma of Head and Neck"
